507
3 1
40 34 59
5 18 59
39 2 59
45 33 13
43 2 59
7 21 59
60 36 17
55 22 59
15 47 59
13 41 59
28 23 59
12 17 59
46 47 59
28 59 59
49 6 59
35 31 39
11 57 59
54 6 59
19 4 59
5 31 59
26 30 59
10 60 17
50 35 59
14 33 59
42 33 59
40 17 59
11 14 58
31 29 39
33 6 59
4 30 59
18 15 33
31 55 59
53 46 30
38 6 59
36 57 59
29 18 59
39 12 39
31 23 59
17 25 59
43 26 59
5 17 59
29 10 59
27 32 59
21 60 59
18 17 17
21 55 45
26 22 59
28 5 59
43 59 59
58 55 59
48 43 39
54 43 59
50 7 58
60 39 10
51 34 13
36 3 59
54 52 58
27 40 58
13 48 13
55 13 59
11 27 11
32 31 13
26 59 59
12 42 59
13 49 59
4 32 59
29 58 59
50 25 58
36 32 59
8 55 59
33 17 59
5 34 59
35 20 59
44 13 59
8 43 54
58 54 58
27 16 59
41 11 11
14 23 5
57 27 59
55 49 59
17 47 17
8 24 59
16 41 59
11 24 59
18 38 59
10 2 59
20 1 1
6 46 59
59 36 59
39 6 59
56 31 59
21 23 59
12 38 4
60 15 59
45 59 59
8 27 58
43 38 59
42 48 59
17 55 17
36 12 59
26 16 4
42 19 59
35 46 59
53 37 59
17 52 59
22 7 58
27 45 59
23 34 59
43 30 59
54 10 59
2 14 58
27 24 59
50 23 58
41 7 58
24 27 59
2 10 59
31 43 39
60 120
58 19 43
1 31 43
11 23 30
23 25 30
13 30 30
22 50 43
26 56 43
15 51 30
22 47 43
57 55 30
60 15 43
1 21 43
22 4 43
60 41 43
27 8 43
1 31 43
45 50 30
26 25 20
45 19 35
11 37 30
51 12 20
45 57 30
20 53 43
14 25 30
26 36 30
31 24 43
48 11 30
60 22 43
33 25 43
60 54 43
3 1 43
23 21 30
53 21 43
9 17 43
55 7 43
54 43 43
38 43 43
6 29 30
39 35 30
40 32 35
2 9 43
4 23 30
49 60 43
34 37 30
48 42 34
42 14 34
20 39 30
8 34 34
2 28 43
43 48 43
2 44 43
4 35 30
18 2 43
37 60 43
38 45 30
44 50 30
3 2 43
43 28 43
14 9 43
39 38 34
16 11 30
27 44 43
9 40 43
44 45 30
47 15 30
56 16 43
49 37 30
4 50 30
46 29 43
55 1 43
37 22 43
23 26 30
53 47 43
57 39 34
36 17 43
54 18 30
25 16 30
42 48 34
11 38 30
10 54 43
17 54 43
19 42 30
53 30 43
3 46 3
28 5 43
52 51 30
56 14 43
8 28 43
40 55 30
17 34 43
38 43 43
47 20 20
13 28 43
18 1 43
32 8 30
53 17 43
13 24 43
27 57 43
55 21 30
29 21 34
40 60 43
45 5 30
58 27 27
32 38 30
33 32 43
37 16 30
39 14 34
3 16 30
23 21 30
50 16 30
3 48 30
22 19 43
52 34 30
2 4 43
24 35 43
38 52 30
31 53 43
24 14 43
29 2 43
58 8 43
60 120
19 48 32
46 37 46
17 29 38
5 54 38
50 54 38
6 21 56
57 31 46
17 50 38
15 31 32
12 50 56
19 59 38
19 23 46
9 20 49
17 54 38
14 16 56
53 35 26
33 44 38
21 60 56
50 58 38
19 9 32
3 5 46
31 3 32
58 10 46
36 6 56
38 57 38
5 12 38
29 40 56
2 58 46
48 42 60
59 8 36
15 4 38
16 28 38
30 3 38
59 43 38
32 11 38
37 14 38
29 31 38
33 26 26
43 1 46
40 27 56
46 53 38
51 7 38
16 52 38
42 34 46
58 49 15
45 44 44
39 11 56
42 15 32
47 55 38
56 47 56
41 44 38
21 4 38
33 16 56
4 39 38
59 33 56
39 59 56
25 38 38
58 16 38
32 54 38
54 10 38
7 6 56
6 58 38
2 49 46
25 10 46
56 36 56
13 48 38
28 52 45
6 3 18
44 10 46
48 45 15
38 48 38
31 40 38
58 14 38
2 36 38
18 24 32
18 58 15
24 5 46
22 46 38
44 10 46
39 58 31
48 35 38
15 6 38
59 51 38
60 24 38
35 5 38
52 16 38
31 57 46
5 47 38
50 36 14
41 29 38
39 43 38
54 15 38
47 56 56
48 22 38
59 43 38
6 50 56
44 9 44
46 16 38
13 57 38
12 51 38
57 41 38
3 15 15
43 29 18
9 1 15
19 4 44
30 34 38
19 27 48
11 10 38
22 36 14
58 43 46
6 55 38
26 43 38
18 45 15
46 37 46
47 20 38
22 5 38
6 34 52
38 21 38
22 42 38
42 40 38
60 120
14 1 13
50 14 23
1 34 57
31 21 57
34 52 57
51 42 22
60 21 22
21 45 13
52 20 13
34 46 57
3 33 13
41 58 13
26 39 13
16 32 13
36 48 13
19 9 22
47 44 22
57 8 13
40 23 13
16 30 22
38 49 13
28 22 22
51 16 22
40 41 22
24 42 57
9 59 13
19 42 57
44 8 13
29 59 13
21 48 22
55 16 22
51 19 22
34 5 13
41 36 13
33 60 13
21 33 13
39 20 13
32 33 23
3 41 6
42 21 42
18 45 13
17 55 13
9 48 9
14 22 13
33 56 13
1 47 6
48 33 13
32 9 13
50 22 13
17 53 13
54 44 22
16 41 22
52 44 22
60 52 22
56 50 13
33 21 13
47 7 22
37 9 9
39 24 22
3 56 22
28 43 28
53 27 13
23 2 23
23 39 13
15 13 13
59 16 13
40 44 16
9 18 22
10 27 13
46 51 22
40 59 13
10 27 13
3 7 22
11 50 13
14 40 13
14 21 13
13 15 13
15 25 13
44 46 22
34 5 13
42 27 13
38 47 22
20 55 13
14 15 59
2 59 23
52 35 22
54 43 6
32 13 13
30 49 13
35 52 22
55 2 13
49 26 36
44 4 13
25 22 22
55 36 13
46 3 6
52 26 13
42 11 22
55 12 22
4 1 13
32 30 13
3 46 6
59 56 13
42 59 13
51 29 22
15 1 13
52 33 13
46 7 22
10 8 13
24 44 22
53 13 13
35 22 22
45 43 13
18 3 6
33 23 23
3 58 13
46 7 22
58 42 13
54 31 6
1 34 57
60 120
14 31 47
42 55 6
22 26 47
6 32 15
29 49 47
57 15 15
48 41 47
35 44 15
20 40 39
56 25 37
38 49 15
28 51 15
39 56 15
7 13 47
10 56 15
37 10 15
33 28 47
11 41 11
31 15 15
8 48 47
48 49 47
56 54 15
19 42 47
32 11 47
31 10 15
47 1 47
53 45 15
30 27 15
12 38 15
28 3 15
43 25 15
46 17 47
52 11 47
40 15 15
17 58 17
25 40 15
53 7 53
27 23 47
23 10 47
4 6 47
59 38 47
2 10 15
42 59 47
23 47 47
57 13 47
56 30 15
58 41 47
54 48 47
45 16 15
56 58 15
56 60 60
46 24 46
19 52 47
37 36 6
57 5 55
35 54 35
44 9 47
3 31 15
4 53 47
15 40 15
12 28 37
56 5 37
58 27 15
25 32 15
59 8 47
7 5 28
60 25 37
33 18 47
38 8 47
45 30 39
3 42 15
26 55 47
18 6 15
43 9 47
46 17 47
50 30 15
59 1 47
38 13 47
3 19 47
35 41 47
26 55 47
25 13 47
6 4 47
16 52 6
51 26 47
57 12 37
51 50 15
11 60 47
30 26 47
1 57 15
12 16 37
42 49 15
47 29 47
22 60 37
12 2 6
58 43 58
8 54 47
34 20 15
57 3 15
27 10 15
25 20 15
2 21 47
4 27 47
46 40 47
54 22 15
1 36 15
25 43 15
60 13 47
10 57 15
9 25 47
25 30 15
52 7 6
4 33 47
55 49 15
48 10 47
34 27 55
42 43 15
29 30 47
24 36 47
28 58 15
9 83
8 3 2
6 2 2
2 7 2
7 2 2
4 2 2
5 2 5
5 3 7
2 7 2
8 5 5
7 2 2
6 7 2
4 3 2
1 6 3
9 6 2
8 3 2
9 6 2
7 8 2
9 7 3
7 2 2
7 3 2
8 2 2
1 8 2
8 2 2
6 5 5
6 2 2
2 9 2
7 3 2
1 9 2
1 7 2
9 7 5
6 9 2
5 9 5
9 8 4
3 6 3
1 4 2
2 5 5
1 9 2
7 4 2
3 5 5
3 4 2
2 8 6
6 1 3
7 5 5
1 8 2
6 8 2
5 3 5
8 2 2
3 5 5
7 3 2
4 2 2
7 3 2
8 4 4
7 6 2
8 4 4
8 6 2
7 9 2
9 8 4
4 2 2
9 5 5
4 2 2
2 6 2
4 2 2
3 8 2
2 5 5
4 1 2
6 1 4
1 8 2
3 7 2
6 7 8
4 7 2
8 7 2
9 8 4
1 2 2
3 7 2
2 1 2
8 3 2
4 3 2
9 8 4
3 9 2
9 8 4
8 3 2
9 4 4
9 4 4
8 37
5 3 4
1 7 4
1 2 2
7 3 4
2 5 2
7 1 4
6 1 2
7 8 4
6 4 2
2 6 2
7 1 4
1 6 2
8 5 4
3 5 4
8 3 3
6 4 2
4 8 4
6 3 8
4 2 2
6 3 2
4 2 2
6 8 2
7 4 4
5 8 4
1 5 4
4 6 2
8 3 3
3 2 7
8 2 2
6 5 2
3 8 3
4 1 4
3 4 4
6 3 2
7 3 4
5 6 2
7 1 4
41 74
8 32 41
38 13 41
35 27 13
8 17 13
28 7 41
3 16 41
4 3 41
35 30 30
27 12 41
10 14 40
37 10 41
25 28 41
35 24 41
7 8 13
23 25 13
8 21 13
4 22 41
18 24 41
36 8 41
11 32 41
10 11 41
35 18 41
30 16 13
22 39 41
13 23 13
11 36 41
12 34 41
1 33 39
18 1 40
16 27 13
11 27 41
13 33 41
26 36 41
11 37 34
26 25 41
18 26 40
15 9 41
21 26 41
5 2 39
10 18 40
35 8 13
29 2 29
39 33 39
18 19 41
40 2 40
39 21 41
8 20 41
33 21 41
37 12 41
9 4 9
1 29 39
4 26 40
15 23 41
39 28 39
36 39 41
13 17 13
19 15 41
15 32 41
9 5 9
21 41 41
26 1 40
29 26 40
17 1 41
7 32 41
37 7 41
37 41 41
16 21 13
34 12 41
29 24 41
9 23 41
23 37 41
12 27 41
19 26 41
7 2 41
47 72
32 16 2
28 39 2
2 45 2
42 5 26
13 42 26
6 31 26
11 42 26
8 3 17
47 20 26
16 11 26
15 39 8
41 23 26
25 32 26
12 20 34
3 23 26
17 2 26
47 10 26
4 22 26
18 35 26
34 16 2
7 25 26
45 43 2
47 25 42
1 21 26
13 27 13
36 19 6
29 31 26
32 11 26
23 12 26
29 41 2
6 30 40
39 29 8
15 5 26
28 32 2
26 43 26
37 11 26
25 12 26
16 1 35
38 9 43
38 40 2
36 22 2
38 35 26
24 37 26
7 17 15
25 23 33
16 25 28
29 3 2
32 21 26
16 45 2
2 37 2
31 3 11
3 6 2
45 13 26
33 15 34
34 35 26
16 47 26
4 28 26
44 41 2
26 14 26
35 41 26
6 28 2
35 28 26
14 39 2
44 21 21
9 15 34
44 12 26
19 46 2
43 11 26
3 21 45
38 42 34
16 45 2
2 26 26
6 100
3 6 3
5 4 6
3 5 3
3 1 3
1 4 4
3 2 3
2 5 2
3 2 3
5 6 6
6 2 6
1 3 3
5 2 2
2 4 6
6 5 6
3 2 3
5 1 6
6 5 6
6 1 6
6 3 3
5 4 6
6 5 6
2 1 6
6 5 6
4 6 6
5 2 2
4 3 3
1 2 6
5 4 6
5 2 2
1 2 6
6 1 6
5 6 6
1 5 6
4 3 3
1 2 6
4 6 6
6 5 6
3 2 3
1 5 6
5 3 3
4 2 6
3 4 3
1 6 6
2 1 6
2 1 6
3 1 3
5 3 3
1 5 6
1 2 6
1 3 3
3 2 3
3 4 3
5 1 6
1 4 4
4 5 6
3 1 3
1 2 6
3 4 3
4 2 6
5 4 6
2 4 6
5 3 3
5 4 6
3 6 3
6 3 3
5 2 2
5 2 2
5 1 6
3 1 3
6 3 3
5 3 3
2 6 6
1 2 6
4 1 4
1 5 6
3 5 3
1 3 3
5 3 3
6 5 6
4 2 6
3 4 3
3 1 3
2 5 2
5 2 2
2 1 6
3 2 3
5 6 6
1 2 6
6 1 6
1 3 3
1 4 4
2 3 3
4 6 6
3 2 3
4 3 3
1 5 6
4 2 6
5 2 2
1 3 3
3 6 3
39 73
39 12 35
35 21 35
17 11 35
28 18 30
28 4 35
10 23 35
15 2 2
9 20 10
2 8 3
5 13 35
35 12 35
7 22 2
32 7 2
21 9 35
2 1 35
26 21 2
1 33 35
30 27 35
1 35 35
12 26 35
7 33 2
24 11 35
33 5 35
30 28 30
6 23 35
22 21 2
12 36 35
32 5 35
32 18 2
12 28 35
31 17 2
10 21 35
24 15 3
7 37 35
7 9 35
8 1 35
29 16 10
21 37 35
16 4 35
7 27 35
11 28 35
32 19 35
3 14 3
10 4 35
8 26 3
8 17 3
22 31 31
6 32 35
33 30 30
38 35 35
30 1 35
12 5 12
28 23 30
13 19 13
15 12 35
33 5 35
11 8 35
14 6 35
34 36 2
38 22 2
26 14 2
21 6 35
11 26 35
29 14 35
28 30 30
12 29 12
26 7 26
14 26 2
39 19 35
26 1 35
8 7 3
27 19 35
22 13 35
31 32
2 1 9
10 19 9
20 7 5
18 8 19
12 25 9
2 25 20
30 2 2
28 16 5
13 19 19
21 4 5
7 9 9
20 9 9
21 27 9
21 7 5
30 6 9
5 1 9
6 2 9
17 27 9
2 6 9
1 3 3
9 24 9
17 10 5
7 12 9
1 26 9
24 11 5
9 7 9
29 5 5
20 15 20
8 1 19
7 4 5
14 26 9
31 3 9
44 104
12 43 39
2 24 8
32 12 39
16 10 39
24 14 8
32 11 15
1 32 39
37 9 39
6 20 39
4 35 28
36 28 39
36 27 27
13 19 8
31 8 8
16 11 8
9 26 18
13 30 39
22 13 39
4 17 18
33 42 5
18 10 39
14 24 8
40 1 1
2 12 8
8 15 8
32 5 39
43 20 39
41 43 10
22 23 39
4 20 8
8 16 8
10 7 39
6 17 39
14 43 39
25 38 39
34 40 8
22 37 39
18 22 39
11 24 8
3 35 39
37 41 39
25 9 39
32 37 39
4 31 28
5 27 39
7 16 8
27 18 9
3 28 39
14 33 34
3 24 39
10 30 29
24 6 39
44 21 39
32 10 29
19 44 8
23 15 15
32 36 29
39 30 39
13 14 8
24 26 8
24 2 8
44 15 8
36 34 39
44 1 28
22 5 39
5 31 9
9 10 39
18 43 29
23 26 8
41 3 29
36 33 39
34 26 8
31 5 28
8 30 39
14 36 39
28 22 39
6 27 27
26 12 18
33 9 8
34 1 8
26 38 18
40 13 8
1 34 8
4 13 8
16 1 8
39 9 39
42 9 39
44 28 28
19 5 8
4 10 39
43 44 39
13 5 12
31 19 8
2 44 8
17 33 8
33 29 39
23 9 8
41 17 39
41 21 41
19 37 39
20 39 39
39 34 39
8 14 8
31 5 28
56 84
8 40 6
7 51 6
36 27 6
38 17 55
3 19 6
35 52 6
25 53 12
14 41 6
49 39 49
39 56 39
3 1 3
50 26 6
29 44 6
4 26 6
52 6 6
37 29 54
18 52 22
5 25 6
54 31 6
40 17 6
49 15 6
36 22 6
45 2 6
8 15 6
14 13 6
21 18 22
42 49 6
6 32 6
18 31 6
33 12 6
9 12 6
28 44 6
9 21 6
43 22 6
33 35 44
8 13 55
41 39 6
51 55 55
39 32 6
34 41 6
18 28 6
47 18 6
8 33 6
15 39 6
10 48 10
23 51 6
3 20 6
15 50 6
31 40 6
16 9 6
46 52 54
15 48 6
13 33 6
10 23 6
31 52 6
48 9 6
39 2 6
6 21 6
33 4 44
29 12 6
1 22 6
40 26 6
31 20 6
49 55 55
46 31 6
53 27 6
51 27 6
29 37 54
41 19 6
50 45 6
41 37 54
8 1 55
12 22 6
31 15 6
54 13 6
30 24 6
22 20 54
41 15 6
50 22 6
36 56 6
29 26 6
39 41 6
35 30 44
26 3 55
11 91
7 3 2
7 8 8
3 7 2
1 10 1
1 10 1
9 7 2
10 8 8
9 6 2
2 6 2
10 5 7
9 6 2
8 5 8
6 10 7
3 6 2
4 1 7
11 1 7
1 10 1
7 2 2
10 1 1
2 8 2
10 2 2
2 6 2
2 5 2
11 9 2
4 6 7
4 10 7
8 2 2
10 9 2
9 6 2
8 4 8
11 7 7
2 11 2
10 11 7
5 11 7
10 3 2
6 4 7
3 5 2
8 3 2
3 8 2
7 1 7
9 6 2
6 9 2
5 1 7
7 9 7
5 1 7
4 7 7
6 7 7
10 1 1
6 5 7
11 2 2
9 11 2
6 9 2
3 1 2
9 3 3
5 4 7
10 3 2
1 6 7
11 1 7
8 5 8
8 11 8
10 8 8
1 11 11
2 1 2
7 6 7
6 7 3
7 3 2
11 8 8
8 5 8
10 7 7
5 9 2
4 10 7
4 1 7
6 1 7
6 1 7
5 7 7
10 2 2
8 7 8
1 10 10
1 10 6
2 7 2
11 8 8
9 2 2
6 8 8
11 7 7
11 10 7
5 9 2
11 10 7
10 11 7
2 9 2
4 9 2
9 3 3
49 70
25 3 7
16 19 27
47 38 22
46 23 46
5 22 22
42 17 27
33 22 27
31 37 22
12 39 7
5 29 27
6 9 27
8 18 27
29 40 27
8 29 27
19 33 27
1 20 22
43 46 22
35 48 27
39 5 27
22 33 27
32 2 27
35 7 27
38 2 27
15 25 22
8 32 27
11 23 22
39 10 27
40 32 22
28 30 22
37 47 11
13 3 27
28 11 28
48 5 22
33 11 27
17 30 27
11 32 22
25 40 22
17 47 27
4 13 22
23 14 22
32 16 22
2 15 32
36 35 27
44 19 27
34 40 27
18 36 27
43 35 27
12 42 22
34 49 27
36 6 27
37 17 27
10 11 27
29 42 27
46 9 27
9 39 21
44 1 22
2 12 27
34 19 27
17 1 27
3 27 27
22 13 36
25 40 22
1 40 1
10 33 47
45 27 27
23 39 27
32 23 18
43 46 22
27 2 27
28 43 22
30 45
1 9 11
16 12 24
5 23 11
21 23 10
4 29 11
4 12 24
8 30 10
7 16 11
14 7 10
25 13 1
1 25 1
2 16 24
22 10 10
7 15 10
10 17 11
8 20 11
22 28 10
9 2 11
30 29 10
25 7 11
30 13 11
27 24 11
11 7 11
5 12 11
29 23 3
4 10 11
24 4 24
10 29 10
26 2 26
26 17 11
14 2 11
7 1 30
27 19 11
19 24 24
22 23 23
10 5 11
23 19 11
6 18 11
24 18 11
6 2 6
29 27 11
5 26 11
3 18 10
18 29 10
26 6 26
54 54
30 21 20
29 24 24
33 12 39
15 33 39
24 19 24
46 5 20
33 2 40
39 8 39
44 9 20
9 50 20
52 37 20
53 30 53
53 26 28
2 38 20
24 1 48
17 23 16
50 5 24
24 48 20
29 45 20
47 8 20
29 39 20
6 10 38
53 39 20
53 16 20
25 39 20
40 50 20
38 53 20
19 41 20
13 6 20
39 28 20
24 13 24
20 5 20
2 5 24
31 19 20
7 23 20
30 32 20
31 17 16
38 29 23
48 25 20
26 8 8
22 36 16
51 37 20
29 35 24
52 40 20
35 37 20
2 29 2
16 22 4
15 35 20
49 19 20
46 42 20
10 29 20
28 18 24
4 33 20
5 25 24
43 47
4 18 36
26 17 42
33 14 36
13 4 36
16 31 16
42 33 36
27 35 36
15 28 36
2 1 29
25 3 3
34 16 34
7 35 36
14 36 36
10 42 10
34 4 36
27 16 36
35 12 12
29 11 11
40 16 36
36 21 36
38 8 8
29 26 42
5 26 36
19 22 8
31 38 36
39 22 24
37 15 36
23 31 36
19 38 8
8 25 36
34 6 34
27 8 42
22 11 3
3 25 36
13 1 36
6 27 36
29 38 38
23 26 23
6 13 36
23 29 42
37 14 36
38 14 42
29 34 36
12 40 36
27 12 36
37 28 36
1 35 36
29 119
14 7 4
4 9 4
10 17 29
20 7 7
27 21 6
12 11 12
